epoch,train_loss,val_macro_f1_at_0.5
1,0.9552704561501741,0.742498264858734
2,0.7793946750462055,0.7666380090671345
3,0.5748007176443934,0.8167519071866898
4,0.44042823649942875,0.8326461664707511
5,0.3759876638650894,0.8413414335475595
6,0.3340422655455768,0.8459357488893354
7,0.3237532088533044,0.8487910771266453
8,0.30034663574770093,0.8460032479168733
9,0.28057759115472436,0.8585823533191954
10,0.287429160438478,0.8459517328005077
11,0.26546195009723306,0.8571732330926989
12,0.2649691142141819,0.861501890277073
13,0.2578666345216334,0.868381027955496
14,0.2625831146724522,0.8687882279431575
15,0.25252816337160766,0.8666218320759743
16,0.23770886193960905,0.8646347886876571
17,0.2421804687473923,0.8668370960318174
18,0.22518718359060585,0.8679142713948872
19,0.23380458122119308,0.8690022427558984
20,0.22247972176410258,0.8690022427558984
21,0.2225776556879282,0.8694749694749694
22,0.2337622968479991,0.8718819349370189
23,0.20531639992259443,0.876423554282597
24,0.21489532524719834,0.8806014712015076
25,0.19951638975180686,0.8828220784366496
26,0.22369409631937742,0.8816318876159303
27,0.2029022874776274,0.8825062411049673
28,0.21545311459340155,0.889095798377085
29,0.19598949910141528,0.8826325703258041
30,0.2022108370438218,0.8839195259828191
31,0.19613213511183858,0.8841091299418986
32,0.2017552105244249,0.8882590015339865
33,0.19927731901407242,0.8817822448378823
34,0.1903146244585514,0.8961882929190813
35,0.19403270306065679,0.8975546986819181
36,0.1845753372181207,0.8947359291590237
37,0.187128261430189,0.895946890286513
38,0.16903801541775465,0.8944892581914475
39,0.18655796186067164,0.9012441457427869
40,0.17263991944491863,0.8963235276040115
41,0.17353915004059672,0.9006036882368728
42,0.18397358315996826,0.8967939851138932
43,0.17696154396981,0.897526732249518
44,0.16846051928587258,0.9055773631877367
45,0.1551937151234597,0.9007540532793058
46,0.15742988814599812,0.9053646621555124
47,0.1809866528492421,0.9025659472422062
48,0.1574632686097175,0.9082929269606712
49,0.16678927396424115,0.9119610491950917
